goals,assists,shots_ontarget,shots_offtarget,chances2score,keypasses,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,tballs_acc,tballs_inacc,drib_success,drib_unsuccess,touches,poss_lost,tackles,interceptions,clearances,stop_shots,dribbled_past,aerials_w,aerials_l,grduels_w,grduels_l,fouls,wasfouled,ycards,rcards,dangmistakes,saves_itb,saves_otb,saved_pen,goals_ag_itb,goals_ag_otb,shotsblocked,countattack,offsides,missed_penalties,owngoals,minutesPlayed,game_duration,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Probability
0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999992074606
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999999632507
0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,26,6,2,4,0,0,1,1,0,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999731967225
0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,26,6,2,4,0,0,1,1,0,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999731967225
0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999983382963
0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.9999999998680806
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.9999999998038049
0,0,0,0,1,0,24,4,2,1,1,1,0,0,1,0,46,9,1,5,5,0,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,4,1.0
0,0,0,0,1,0,24,4,2,1,1,1,0,0,1,0,46,9,1,5,5,0,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,4,1.0
0,0,0,0,1,0,24,4,2,1,1,1,0,0,1,0,46,9,1,5,5,0,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,4,1.0
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.999999966715024
0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999561440812
0,0,0,0,0,0,26,7,0,0,4,1,0,2,0,0,37,10,0,2,2,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,90,0,0,0,0,0.9999999999993463
0,0,0,0,0,0,26,7,0,0,4,1,0,2,0,0,37,10,0,2,2,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,90,0,0,0,0,0.9999999999993463
0,0,0,0,0,0,26,7,0,0,4,1,0,2,0,0,37,10,0,2,2,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,90,0,0,0,0,0.9999999999993463
0,0,0,0,0,0,26,7,0,0,4,1,0,2,0,0,37,10,0,2,2,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,90,0,0,0,0,0.9999999999993463
0,0,0,0,0,0,61,7,0,0,3,5,0,0,0,0,71,7,1,2,0,0,0,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999998085514
0,0,0,0,0,0,61,7,0,0,3,5,0,0,0,0,71,7,1,2,0,0,0,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999998085514
0,0,0,0,0,0,61,7,0,0,3,5,0,0,0,0,71,7,1,2,0,0,0,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999998085514
0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.999999999574527
0,0,0,0,0,0,10,6,0,1,2,2,0,0,0,0,32,15,1,0,3,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999400683226
0,0,0,0,0,0,10,6,0,1,2,2,0,0,0,0,32,15,1,0,3,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999400683226
0,0,0,0,0,0,10,6,0,1,2,2,0,0,0,0,32,15,1,0,3,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999400683226
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999979209804
0,0,0,0,0,0,29,3,0,1,2,2,0,0,0,0,57,11,0,4,4,0,0,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,3,0.9999999861287138
0,0,0,0,0,0,29,3,0,1,2,2,0,0,0,0,57,11,0,4,4,0,0,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,3,0.9999999861287138
0,0,0,0,0,0,29,3,0,1,2,2,0,0,0,0,57,11,0,4,4,0,0,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,3,0.9999999861287138
0,0,0,0,0,0,29,3,0,1,2,2,0,0,0,0,57,11,0,4,4,0,0,1,2,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,3,0.9999999861287138
0,0,0,0,0,0,35,2,1,2,2,1,0,0,0,0,58,5,4,0,0,0,1,1,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999999266151
0,0,0,0,0,0,35,2,1,2,2,1,0,0,0,0,58,5,4,0,0,0,1,1,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999999266151
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999999632507
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999999632507
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999999632507
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999999632507
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,90,90,1,1,0,2,0.9999457919446042
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,90,90,1,1,0,2,0.9999457919446042
0,0,0,0,0,0,6,1,0,0,4,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.999999999981668
0,0,0,0,0,0,6,1,0,0,4,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.999999999981668
0,0,0,0,0,0,6,1,0,0,4,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.999999999981668
